CG,Angle_1,Angle_2,Angle_3,Angle_4,Angle_5,Angle_6
2.765,"[ -18.76136481   31.77975628   53.03603775 -161.23863519  148.22024372
  126.96396225]"
2.7800000000000002,"[ -19.16136939   31.50417841   52.91613933 -160.83863061  148.49582159
  127.08386067]"
2.795,"[ -19.55944263   31.22696616   52.79557333 -160.44055737  148.77303384
  127.20442667]"
2.81,"[ -19.95556033   30.94811805   52.67433522 -160.04443967  149.05188195
  127.32566478]"
2.825,"[ -20.34969929   30.66763288   52.55242047 -159.65030071  149.33236712
  127.44757953]"
2.84,"[ -20.74183726   30.38550976   52.42982451 -159.25816274  149.61449024
  127.57017549]"
2.855,"[ -21.13195299   30.10174809   52.30654274 -158.86804701  149.89825191
  127.69345726]"
2.87,"[ -21.5200262    29.8163476    52.18257055 -158.4799738   150.1836524
  127.81742945]"
2.885,"[ -21.90603756   29.52930835   52.05790329 -158.09396244  150.47069165
  127.94209671]"
2.9,"[ -22.2899687    29.24063069   51.93253629 -157.7100313   150.75936931
  128.06746371]"
2.915,"[ -22.67180219   28.95031536   51.80646485 -157.32819781  151.04968464
  128.19353515]"
2.9299999999999997,"[ -23.05152154   28.65836341   51.67968425 -156.94847846  151.34163659
  128.32031575]"
2.945,"[ -23.42911117   28.36477625   51.55218973 -156.57088883  151.63522375
  128.44781027]"
2.96,"[ -23.80455644   28.06955564   51.42397654 -156.19544356  151.93044436
  128.57602346]"
2.975,"[ -24.1778436    27.77270373   51.29503986 -155.8221564   152.22729627
  128.70496014]"
2.99,"[ -24.54895978   27.47422302   51.16537488 -155.45104022  152.52577698
  128.83462512]"
3.005,"[ -24.917893     27.17411641   51.03497674 -155.082107    152.82588359
  128.96502326]"
3.02,"[ -25.28463214   26.87238718   50.90384057 -154.71536786  153.12761282
  129.09615943]"
3.035,"[ -25.64916693   26.569039     50.77196147 -154.35083307  153.430961
  129.22803853]"
3.05,"[ -26.01148795   26.26407595   50.63933453 -153.98851205  153.73592405
  129.36066547]"
3.065,"[ -26.37158658   25.95750252   50.50595479 -153.62841342  154.04249748
  129.49404521]"
3.08,"[ -26.72945503   25.64932361   50.37181729 -153.27054497  154.35067639
  129.62818271]"
3.0949999999999998,"[ -27.08508628   25.33954455   50.23691702 -152.91491372  154.66045545
  129.76308298]"
3.11,"[ -27.4384741    25.02817109   50.10124899 -152.5615259   154.97182891
  129.89875101]"
3.125,"[ -27.78961303   24.71520943   49.96480814 -152.21038697  155.28479057
  130.03519186]"
3.1399999999999997,"[ -28.13849833   24.40066621   49.82758942 -151.86150167  155.59933379
  130.17241058]"
3.1550000000000002,"[ -28.48512602   24.08454851   49.68958774 -151.51487398  155.91545149
  130.31041226]"
3.17,"[ -28.8294928    23.76686386   49.550798   -151.1705072   156.23313614
  130.449202  ]"
3.185,"[ -29.17159609   23.44762026   49.41121507 -150.82840391  156.55237974
  130.58878493]"
3.2,"[ -29.51143397   23.12682618   49.27083381 -150.48856603  156.87317382
  130.72916619]"
3.215,"[ -29.84900522   22.80449056   49.12964903 -150.15099478  157.19550944
  130.87035097]"
3.23,"[ -30.18430921   22.4806228    48.98765556 -149.81569079  157.5193772
  131.01234444]"
3.245,"[ -30.51734599   22.1552328    48.84484819 -149.48265401  157.8447672
  131.15515181]"
3.26,"[ -30.84811619   21.82833094   48.70122168 -149.15188381  158.17166906
  131.29877832]"
3.275,"[ -31.17662106   21.49992809   48.55677079 -148.82337894  158.50007191
  131.44322921]"
3.29,"[ -31.5028624    21.17003561   48.41149026 -148.4971376   158.82996439
  131.58850974]"
3.3049999999999997,"[ -31.8268426    20.83866536   48.26537479 -148.1731574   159.16133464
  131.73462521]"
3.32,"[ -32.14856458   20.50582972   48.1184191  -147.85143542  159.49417028
  131.8815809 ]"
3.335,"[ -32.46803179   20.17154154   47.97061785 -147.53196821  159.82845846
  132.02938215]"
3.3499999999999996,"[ -32.7852482    19.8358142    47.82196573 -147.2147518   160.1641858
  132.17803427]"
3.365,"[ -33.10021827   19.4986616    47.67245736 -146.89978173  160.5013384
  132.32754264]"
3.38,"[ -33.41294694   19.16009814   47.5220874  -146.58705306  160.83990186
  132.4779126 ]"
3.395,"[ -33.72343961   18.82013873   47.37085046 -146.27656039  161.17986127
  132.62914954]"
3.41,"[ -34.03170215   18.4787988    47.21874114 -145.96829785  161.5212012
  132.78125886]"
3.425,"[ -34.33774084   18.1360943    47.06575405 -145.66225916  161.8639057
  132.93424595]"
3.44,"[ -34.64156238   17.79204171   46.91188375 -145.35843762  162.20795829
  133.08811625]"
3.455,"[ -34.94317387   17.446658     46.75712482 -145.05682613  162.553342
  133.24287518]"
3.4699999999999998,"[ -35.24258281   17.09996069   46.60147182 -144.75741719  162.90003931
  133.39852818]"
3.485,"[ -35.53979707   16.7519678    46.44491928 -144.46020293  163.2480322
  133.55508072]"
3.5,"[ -35.83482487   16.40269786   46.28746176 -144.16517513  163.59730214
  133.71253824]"
3.5149999999999997,"[ -36.12767477   16.05216995   46.12909378 -143.87232523  163.94783005
  133.87090622]"
3.5300000000000002,"[ -36.41835567   15.70040362   45.96980986 -143.58164433  164.29959638
  134.03019014]"
